epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,211.86,0.823,1.08253,1.05482,0.98388,0.9,0.89619,0.42018,1.60943,1.07818,1.49371,0.000218,0.000218,0.000218
92,213.998,0.75448,1.12329,1.05997,0.98388,0.9,0.89619,0.42018,1.60943,1.07818,1.49371,0.0001982,0.0001982,0.0001982
93,216.136,0.79026,1.03752,1.01211,0.98427,0.9,0.89627,0.42651,1.61834,1.13701,1.48709,0.0001784,0.0001784,0.0001784
94,218.352,0.76799,0.93145,0.98563,0.992,0.9,0.89582,0.44125,1.62185,1.18614,1.48661,0.0001586,0.0001586,0.0001586
95,220.506,0.83138,0.9419,1.08542,0.992,0.9,0.89582,0.44125,1.62185,1.18614,1.48661,0.0001388,0.0001388,0.0001388
96,222.778,0.78159,0.97608,1.02909,0.99387,0.9,0.89576,0.42877,1.6233,1.15798,1.47636,0.000119,0.000119,0.000119
97,225.117,0.72562,0.98431,0.99892,0.97303,0.9,0.89573,0.4545,1.64966,1.15519,1.49575,9.92e-05,9.92e-05,9.92e-05
98,227.368,0.82164,0.98298,1.11657,0.97303,0.9,0.89573,0.4545,1.64966,1.15519,1.49575,7.94e-05,7.94e-05,7.94e-05
99,229.641,0.7159,0.9001,0.98302,0.957,0.9,0.8958,0.44281,1.686,1.12054,1.51498,5.96e-05,5.96e-05,5.96e-05
100,231.853,0.74709,0.91283,1.0433,0.94438,0.9,0.89584,0.46053,1.67892,1.11528,1.49586,3.98e-05,3.98e-05,3.98e-05
